,_id,1. open,2. high,3. low,4. close,5. volume,date
1,653b3d4934837916b84caf48,144.0000,144.0000,143.9700,144.0000,3,2023-10-26 19:58:00
2,653b8570ce6653726d131288,144.0000,144.0000,143.9700,144.0000,3,2023-10-26 19:58:00
3,653b3d4934837916b84caf49,143.9700,144.0000,143.9600,144.0000,112,2023-10-26 19:57:00
4,653b8570ce6653726d131289,143.9700,144.0000,143.9600,144.0000,112,2023-10-26 19:57:00
5,653b3d4934837916b84caf4a,143.9300,143.9700,143.9100,143.9700,203,2023-10-26 19:56:00
6,653b8570ce6653726d13128a,143.9300,143.9700,143.9100,143.9700,203,2023-10-26 19:56:00
7,653b3d4a34837916b84caf4b,143.9500,143.9500,143.9100,143.9100,85,2023-10-26 19:55:00
8,653b8570ce6653726d13128b,143.9500,143.9500,143.9100,143.9100,85,2023-10-26 19:55:00
9,653b3d4a34837916b84caf4c,143.9300,143.9300,143.9300,143.9300,20,2023-10-26 19:51:00
10,653b8570ce6653726d13128c,143.9300,143.9300,143.9300,143.9300,20,2023-10-26 19:51:00
11,653b3d4a34837916b84caf4d,143.9400,143.9400,143.9400,143.9400,3,2023-10-26 19:50:00
12,653b8570ce6653726d13128d,143.9400,143.9400,143.9400,143.9400,3,2023-10-26 19:50:00
13,653b3d4a34837916b84caf4e,143.9100,143.9100,143.9100,143.9100,10,2023-10-26 19:47:00
14,653b8570ce6653726d13128e,143.9100,143.9100,143.9100,143.9100,10,2023-10-26 19:47:00
15,653b3d4a34837916b84caf4f,143.9200,143.9200,143.9100,143.9100,35,2023-10-26 19:42:00
16,653b8570ce6653726d13128f,143.9200,143.9200,143.9100,143.9100,35,2023-10-26 19:42:00
17,653b3d4a34837916b84caf50,143.9200,143.9200,143.9200,143.9200,50,2023-10-26 19:41:00
18,653b8570ce6653726d131290,143.9200,143.9200,143.9200,143.9200,50,2023-10-26 19:41:00
19,653b3d4a34837916b84caf51,143.9200,143.9200,143.9200,143.9200,100,2023-10-26 19:38:00
20,653b8570ce6653726d131291,143.9200,143.9200,143.9200,143.9200,100,2023-10-26 19:38:00
21,653b3d4a34837916b84caf52,143.9200,143.9200,143.9200,143.9200,23,2023-10-26 19:35:00
22,653b8570ce6653726d131292,143.9200,143.9200,143.9200,143.9200,23,2023-10-26 19:35:00
23,653b3d4a34837916b84caf53,143.9200,143.9200,143.9200,143.9200,30,2023-10-26 19:34:00
24,653b8570ce6653726d131293,143.9200,143.9200,143.9200,143.9200,30,2023-10-26 19:34:00
25,653b3d4a34837916b84caf54,143.9200,143.9200,143.9200,143.9200,36,2023-10-26 19:32:00
26,653b8570ce6653726d131294,143.9200,143.9200,143.9200,143.9200,36,2023-10-26 19:32:00
27,653b3d4a34837916b84caf55,143.9700,143.9700,143.9700,143.9700,50,2023-10-26 19:30:00
28,653b8570ce6653726d131295,143.9700,143.9700,143.9700,143.9700,50,2023-10-26 19:30:00
29,653b3d4a34837916b84caf56,143.9200,143.9200,143.9200,143.9200,5,2023-10-26 19:28:00
30,653b8570ce6653726d131296,143.9200,143.9200,143.9200,143.9200,5,2023-10-26 19:28:00
31,653b3d4a34837916b84caf57,143.9700,143.9700,143.9700,143.9700,50,2023-10-26 19:27:00
32,653b8570ce6653726d131297,143.9700,143.9700,143.9700,143.9700,50,2023-10-26 19:27:00
33,653b3d4a34837916b84caf58,143.9200,143.9200,143.9200,143.9200,2,2023-10-26 19:26:00
34,653b8570ce6653726d131298,143.9200,143.9200,143.9200,143.9200,2,2023-10-26 19:26:00
35,653b3d4a34837916b84caf59,143.9100,143.9100,143.9100,143.9100,4,2023-10-26 19:25:00
36,653b8570ce6653726d131299,143.9100,143.9100,143.9100,143.9100,4,2023-10-26 19:25:00
37,653b3d4a34837916b84caf5a,143.9000,143.9000,143.9000,143.9000,2,2023-10-26 19:20:00
38,653b8570ce6653726d13129a,143.9000,143.9000,143.9000,143.9000,2,2023-10-26 19:20:00
39,653b3d4a34837916b84caf5b,143.9100,143.9100,143.9100,143.9100,16,2023-10-26 19:19:00
40,653b8570ce6653726d13129b,143.9100,143.9100,143.9100,143.9100,16,2023-10-26 19:19:00
41,653b3d4a34837916b84caf5c,143.9000,143.9000,143.9000,143.9000,857,2023-10-26 19:17:00
42,653b8570ce6653726d13129c,143.9000,143.9000,143.9000,143.9000,857,2023-10-26 19:17:00
43,653b3d4a34837916b84caf5d,143.9700,143.9700,143.9000,143.9000,150,2023-10-26 19:16:00
44,653b8570ce6653726d13129d,143.9700,143.9700,143.9000,143.9000,150,2023-10-26 19:16:00
45,653b3d4a34837916b84caf5e,143.9800,143.9800,143.9800,143.9800,10,2023-10-26 19:15:00
46,653b8570ce6653726d13129e,143.9800,143.9800,143.9800,143.9800,10,2023-10-26 19:15:00
47,653b3d4a34837916b84caf5f,143.9000,143.9000,143.8900,143.8900,5,2023-10-26 19:09:00
